,num_words,word_list_size,chars_between,mod_probability,symbol_guesses,total_strength,days_to_crack
81,2,1600,4,0.6,10,4299161599.999999,4.975881481481481e-07
82,2,1600,4,0.7,10,5593318400.0,6.473748148148148e-07
83,2,1600,4,0.8,10,7057510399.999999,8.168414814814813e-07
84,2,1700,2,0.5,10,1835872500.0,2.1248524305555554e-07
85,2,1700,2,0.6,10,2485862399.9999995,2.877155555555555e-07
86,2,1700,2,0.7,10,3234170100.0,3.7432524305555556e-07
87,2,1700,2,0.8,10,4080795599.9999995,4.723143055555555e-07
88,2,1700,3,0.5,10,2710097500.0,3.136686921296296e-07
89,2,1700,3,0.6,10,3669606399.9999995,4.247229629629629e-07
90,2,1700,3,0.7,10,4774251100.0,5.525753587962963e-07
91,2,1700,3,0.8,10,6024031600.0,6.972258796296297e-07
92,2,1700,4,0.5,10,3584322500.0,4.148521412037037e-07
93,2,1700,4,0.6,10,4853350399.999999,5.617303703703702e-07
94,2,1700,4,0.7,10,6314332100.0,7.30825474537037e-07
95,2,1700,4,0.8,10,7967267599.999999,9.221374537037035e-07
96,2,1800,2,0.5,10,2058210000.0,2.3821875e-07
97,2,1800,2,0.6,10,2786918399.9999995,3.2255999999999994e-07
98,2,1800,2,0.7,10,3625851600.0,4.1965874999999995e-07
99,2,1800,2,0.8,10,4575009600.0,5.29515e-07
100,2,1800,3,0.5,10,3038310000.0,3.5165625e-07
101,2,1800,3,0.6,10,4114022399.9999995,4.7615999999999994e-07
102,2,1800,3,0.7,10,5352447600.0,6.1949625e-07
103,2,1800,3,0.8,10,6753585599.999999,7.81665e-07
104,2,1800,4,0.5,10,4018410000.0,4.6509375e-07
105,2,1800,4,0.6,10,5441126399.999999,6.297599999999999e-07
106,2,1800,4,0.7,10,7079043600.0,8.1933375e-07
107,2,1800,4,0.8,10,8932161600.0,1.0338150000000002e-06
108,2,1900,2,0.5,10,2293252500.0,2.654227430555555e-07
109,2,1900,2,0.6,10,3105177599.9999995,3.593955555555555e-07
110,2,1900,2,0.7,10,4039914900.0,4.675827430555556e-07
111,2,1900,2,0.8,10,5097464400.0,5.899843055555556e-07
112,2,1900,3,0.5,10,3385277500.0,3.9181452546296297e-07
113,2,1900,3,0.6,10,4583833599.999999,5.305362962962962e-07
114,2,1900,3,0.7,10,5963683900.0,6.902411921296296e-07
115,2,1900,3,0.8,10,7524828399.999999,8.709292129629628e-07
116,2,1900,4,0.5,10,4477302500.0,5.182063078703704e-07
117,2,1900,4,0.6,10,6062489599.999999,7.01677037037037e-07
118,2,1900,4,0.7,10,7887452900.0,9.128996412037036e-07
119,2,1900,4,0.8,10,9952192400.0,1.1518741203703703e-06
120,2,2000,2,0.5,10,2541000000.0,2.940972222222222e-07
121,2,2000,2,0.6,10,3440639999.9999995,3.982222222222222e-07
122,2,2000,2,0.7,10,4476360000.0,5.180972222222222e-07
123,2,2000,2,0.8,10,5648160000.0,6.537222222222222e-07
124,2,2000,3,0.5,10,3751000000.0,4.341435185185185e-07
125,2,2000,3,0.6,10,5079039999.999999,5.878518518518518e-07
126,2,2000,3,0.7,10,6607960000.0,7.648101851851852e-07
127,2,2000,3,0.8,10,8337759999.999999,9.650185185185185e-07
128,2,2000,4,0.5,10,4961000000.0,5.741898148148148e-07
129,2,2000,4,0.6,10,6717439999.999999,7.774814814814814e-07
130,2,2000,4,0.7,10,8739560000.0,1.0115231481481483e-06
131,2,2000,4,0.8,10,11027360000.0,1.276314814814815e-06
132,2,2100,2,0.5,10,2801452500.0,3.242421875e-07
133,2,2100,2,0.6,10,3793305599.9999995,4.3903999999999994e-07
134,2,2100,2,0.7,10,4935186900.0,5.712021875e-07
135,2,2100,2,0.8,10,6227096400.0,7.207287499999999e-07
136,2,2100,3,0.5,10,4135477500.0,4.786432291666667e-07
137,2,2100,3,0.6,10,5599641599.999999,6.481066666666666e-07
138,2,2100,3,0.7,10,7285275900.0,8.432032291666667e-07
139,2,2100,3,0.8,10,9192380400.0,1.0639329166666667e-06
140,2,2100,4,0.5,10,5469502500.0,6.330442708333333e-07
141,2,2100,4,0.6,10,7405977599.999999,8.571733333333333e-07
142,2,2100,4,0.7,10,9635364900.0,1.1152042708333334e-06
143,2,2100,4,0.8,10,12157664400.0,1.4071370833333333e-06
144,2,2200,2,0.5,10,3074610000.0,3.558576388888889e-07
145,2,2200,2,0.6,10,4163174399.9999995,4.818488888888888e-07
146,2,2200,2,0.7,10,5416395600.0,6.268976388888889e-07
